condition_id,run_id,label,proposer_pool,architecture,aggregation,derived_modality,derivation_basis,from_transmitted_configuration,routes_disagree,register_pool_modality,register_verifier_modality,passes_manifest_modality,pool_token,label_token,board_membership_track,board_opmax_track,board_opmax_modality,n_mismatches
proposer-verifier-384::verified-checklist-image-era2b,proposer-verifier-384,verified-checklist-image-era2b,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,image,,text,image,,,,0
proposer-verifier-384::verified-checklist-text-era2b,proposer-verifier-384,verified-checklist-text-era2b,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,text,,text,text,,,,0
proposer-verifier-512::verified-adversarial-text,proposer-verifier-512,verified-adversarial-text,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,text,,text,text,,,,0
pv-diag-256::text-baseline,pv-diag-256,text-baseline,text,single-pass,none,text,pool-name-token,False,False,,,,text,text,,,,0
pv-diag-256::text-consensus-5of5,pv-diag-256,text-consensus-5of5,text,consensus,consensus,text,pool-name-token,False,False,,,,text,text,,,,0
pv-diag-256::verified-adv-text-consensus-5of5,pv-diag-256,verified-adv-text-consensus-5of5,text-consensus-5of5,proposer-verifier,verified,text,pool-name-token,False,False,,,,text,text,,,,0
pv-diag-384::baseline-flash-image-high-t-0-7,pv-diag-384,baseline-flash-image-high-t-0-7,flash-high-image-n5/image-t0.7,single-pass,none,image,run-metadata,True,False,image,,,image,image,,,,0
pv-diag-384::baseline-flash-image-minimal-t-0-0,pv-diag-384,baseline-flash-image-minimal-t-0-0,image-baseline/image-t0.0,single-pass,none,image,run-metadata,True,False,image,,,image,image,,,,0
pv-diag-384::baseline-flash-image-minimal-t-0-7,pv-diag-384,baseline-flash-image-minimal-t-0-7,image-n5/image-t0.7,single-pass,none,image,run-metadata,True,False,image,,,image,image,,,,0
pv-diag-384::baseline-flash-text-high-t-0-7,pv-diag-384,baseline-flash-text-high-t-0-7,flash-high-text-n5/text-t0.7,single-pass,none,text,run-metadata,True,False,text,,,text,text,,,,0
pv-diag-384::baseline-flash-text-minimal-t-0-0-pv-baseline,pv-diag-384,baseline-flash-text-minimal-t-0-0-pv-baseline,text-baseline/text-t0.0,single-pass,none,text,run-metadata,True,False,text,,,text,text,,,,0
pv-diag-384::baseline-flash-text-minimal-t-0-7,pv-diag-384,baseline-flash-text-minimal-t-0-7,flash-minimal-text-n30-t07/text-t0.7,single-pass,none,text,run-metadata,True,False,text,,,text,text,,,,0
pv-diag-384::baseline-pro-image-high-t-0-7,pv-diag-384,baseline-pro-image-high-t-0-7,pro-high-image-n5/image-t0.7,single-pass,none,image,run-metadata,True,False,image,,,image,image,,,,0
pv-diag-384::baseline-pro-image-medium-t-0-0,pv-diag-384,baseline-pro-image-medium-t-0-0,pro-medium-image-baseline/image-t0.0,single-pass,none,image,run-metadata,True,False,image,,,image,image,,,,0
pv-diag-384::baseline-pro-text-high-t-0-7,pv-diag-384,baseline-pro-text-high-t-0-7,pro-high-text-n5/text-t0.7,single-pass,none,text,run-metadata,True,False,text,,,text,text,,,,0
pv-diag-384::baseline-pro-text-medium-t-0-0,pv-diag-384,baseline-pro-text-medium-t-0-0,pro-medium-text-baseline/text-t0.0,single-pass,none,text,run-metadata,True,False,text,,,text,text,,,,0
pv-diag-384::flash-high-image-n5-image-t0.0-consensus-1of3,pv-diag-384,flash-high-image-n5-image-t0.0-consensus-1of3,flash-high-image-n5-image-t0.0,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
pv-diag-384::flash-high-image-n5-image-t0.0-consensus-3of3,pv-diag-384,flash-high-image-n5-image-t0.0-consensus-3of3,flash-high-image-n5-image-t0.0,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
pv-diag-384::flash-high-image-n5-image-t0.3-consensus-9of10,pv-diag-384,flash-high-image-n5-image-t0.3-consensus-9of10,flash-high-image-n5-image-t0.3,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
pv-diag-384::flash-high-image-n5-image-t0.3-consensus-n5-5of5,pv-diag-384,flash-high-image-n5-image-t0.3-consensus-n5-5of5,flash-high-image-n5-image-t0.3,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
pv-diag-384::flash-high-image-n5-image-t0.7-consensus-7of10,pv-diag-384,flash-high-image-n5-image-t0.7-consensus-7of10,flash-high-image-n5-image-t0.7,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
pv-diag-384::flash-high-image-n5-image-t0.7-consensus-n5-3of5,pv-diag-384,flash-high-image-n5-image-t0.7-consensus-n5-3of5,flash-high-image-n5-image-t0.7,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
pv-diag-384::flash-high-image-n5-image-t1.0-consensus-6of10,pv-diag-384,flash-high-image-n5-image-t1.0-consensus-6of10,flash-high-image-n5-image-t1.0,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
pv-diag-384::flash-high-image-n5-image-t1.0-consensus-n5-4of5,pv-diag-384,flash-high-image-n5-image-t1.0-consensus-n5-4of5,flash-high-image-n5-image-t1.0,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
pv-diag-384::flash-high-text-n5-text-t0.0-consensus-3of3,pv-diag-384,flash-high-text-n5-text-t0.0-consensus-3of3,flash-high-text-n5-text-t0.0,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::flash-high-text-n5-text-t0.3-consensus-10of10,pv-diag-384,flash-high-text-n5-text-t0.3-consensus-10of10,flash-high-text-n5-text-t0.3,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::flash-high-text-n5-text-t0.3-consensus-n5-5of5,pv-diag-384,flash-high-text-n5-text-t0.3-consensus-n5-5of5,flash-high-text-n5-text-t0.3,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::flash-high-text-n5-text-t0.7-consensus-26of30,pv-diag-384,flash-high-text-n5-text-t0.7-consensus-26of30,flash-high-text-n5-text-t0.7,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::flash-high-text-n5-text-t0.7-consensus-n10-9of10,pv-diag-384,flash-high-text-n5-text-t0.7-consensus-n10-9of10,flash-high-text-n5-text-t0.7,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::flash-high-text-n5-text-t0.7-consensus-n5-5of5,pv-diag-384,flash-high-text-n5-text-t0.7-consensus-n5-5of5,flash-high-text-n5-text-t0.7,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::flash-high-text-n5-text-t1.0-consensus-9of10,pv-diag-384,flash-high-text-n5-text-t1.0-consensus-9of10,flash-high-text-n5-text-t1.0,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::flash-high-text-n5-text-t1.0-consensus-n5-5of5,pv-diag-384,flash-high-text-n5-text-t1.0-consensus-n5-5of5,flash-high-text-n5-text-t1.0,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::flash-minimal-text-n30-t07-text-t0.0-consensus-3of3,pv-diag-384,flash-minimal-text-n30-t07-text-t0.0-consensus-3of3,flash-minimal-text-n30-t07-text-t0.0,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::flash-minimal-text-n30-t07-text-t0.3-consensus-10of10,pv-diag-384,flash-minimal-text-n30-t07-text-t0.3-consensus-10of10,flash-minimal-text-n30-t07-text-t0.3,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::flash-minimal-text-n30-t07-text-t0.3-consensus-n5-5of5,pv-diag-384,flash-minimal-text-n30-t07-text-t0.3-consensus-n5-5of5,flash-minimal-text-n30-t07-text-t0.3,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::flash-minimal-text-n30-t07-text-t0.7-consensus-29of30,pv-diag-384,flash-minimal-text-n30-t07-text-t0.7-consensus-29of30,flash-minimal-text-n30-t07-text-t0.7,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::flash-minimal-text-n30-t07-text-t0.7-consensus-n10-10of10,pv-diag-384,flash-minimal-text-n30-t07-text-t0.7-consensus-n10-10of10,flash-minimal-text-n30-t07-text-t0.7,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::flash-minimal-text-n30-t07-text-t0.7-consensus-n5-5of5,pv-diag-384,flash-minimal-text-n30-t07-text-t0.7-consensus-n5-5of5,flash-minimal-text-n30-t07-text-t0.7,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::flash-minimal-text-n30-t07-text-t1.0-consensus-9of10,pv-diag-384,flash-minimal-text-n30-t07-text-t1.0-consensus-9of10,flash-minimal-text-n30-t07-text-t1.0,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::flash-minimal-text-n30-t07-text-t1.0-consensus-n5-5of5,pv-diag-384,flash-minimal-text-n30-t07-text-t1.0-consensus-n5-5of5,flash-minimal-text-n30-t07-text-t1.0,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
pv-diag-384::image-n5-image-t0.3-consensus-10of10,pv-diag-384,image-n5-image-t0.3-consensus-10of10,image-n5-image-t0.3,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
pv-diag-384::image-n5-image-t0.3-consensus-n5-5of5,pv-diag-384,image-n5-image-t0.3-consensus-n5-5of5,image-n5-image-t0.3,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
pv-diag-384::image-n5-image-t0.7-consensus-8of10,pv-diag-384,image-n5-image-t0.7-consensus-8of10,image-n5-image-t0.7,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
pv-diag-384::image-n5-image-t0.7-consensus-n5-4of5,pv-diag-384,image-n5-image-t0.7-consensus-n5-4of5,image-n5-image-t0.7,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
pv-diag-384::image-n5-image-t1.0-consensus-8of10,pv-diag-384,image-n5-image-t1.0-consensus-8of10,image-n5-image-t1.0,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
pv-diag-384::image-n5-image-t1.0-consensus-n5-4of5,pv-diag-384,image-n5-image-t1.0-consensus-n5-4of5,image-n5-image-t1.0,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
pv-diag-384::verified-adv-text-consensus-16of30,pv-diag-384,verified-adv-text-consensus-16of30,flash-high-text-consensus-16of30,proposer-verifier,verified,text,pool-name-token,False,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-text-4of5,pv-diag-384,verified-adv-text-4of5,flash-high-text-1of5,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-text-6of10,pv-diag-384,verified-adv-text-6of10,flash-high-text-1of10,proposer-verifier,verified,text,pool-name-token,False,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-text-high-vf-4of5,pv-diag-384,verified-adv-text-high-vf-4of5,flash-high-text-1of5,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-text-medium-vf-4of5,pv-diag-384,verified-adv-text-medium-vf-4of5,flash-high-text-1of5,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-pro-text-flash-vf-3of5,pv-diag-384,verified-adv-pro-text-flash-vf-3of5,pro-high-text-1of5,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-pro-text-pro-vf-3of5,pv-diag-384,verified-adv-pro-text-pro-vf-3of5,pro-high-text-1of5,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-text-min-true-3of5,pv-diag-384,verified-adv-text-min-true-3of5,text-min-t07-true-1of5,proposer-verifier,verified,text,pool-name-token,False,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-text-min-n30lineage-4of5,pv-diag-384,verified-adv-text-min-n30lineage-4of5,flash-minimal-text-t07-1of5,proposer-verifier,verified,text,pool-name-token,False,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-text-min-6of10,pv-diag-384,verified-adv-text-min-6of10,text-1of10,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-text-t03-4of5,pv-diag-384,verified-adv-text-t03-4of5,flash-high-text-t03-1of5,proposer-verifier,verified,text,pool-name-token,False,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-image-3of5,pv-diag-384,verified-adv-image-3of5,flash-high-image-1of5,proposer-verifier,verified,image,run-metadata,True,False,,,,image,image,image,,,0
pv-diag-384::verified-adv-text-pro-vf-4of5,pv-diag-384,verified-adv-text-pro-vf-4of5,flash-high-text-1of5,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-image-min-3of5,pv-diag-384,verified-adv-image-min-3of5,image-1of5,proposer-verifier,verified,image,run-metadata,True,False,,,,image,image,image,,,0
pv-diag-384::verified-adv-image-min-6of10,pv-diag-384,verified-adv-image-min-6of10,image-1of10,proposer-verifier,verified,image,pool-name-token,False,False,,,,image,image,image,,,0
pv-diag-384::verified-adv-image-baseline,pv-diag-384,verified-adv-image-baseline,image-baseline,proposer-verifier,verified,image,run-metadata,True,False,,,,image,image,image,,,0
pv-diag-384::verified-adv-image-baseline-medium-vf,pv-diag-384,verified-adv-image-baseline-medium-vf,image-baseline,proposer-verifier,verified,image,run-metadata,True,False,,,,image,image,image,,,0
pv-diag-384::verified-adv-image-baseline-pro-vf,pv-diag-384,verified-adv-image-baseline-pro-vf,image-baseline,proposer-verifier,verified,image,run-metadata,True,False,,,,image,image,image,,,0
pv-diag-384::verified-adv-text-baseline,pv-diag-384,verified-adv-text-baseline,text-baseline,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-text-baseline-medium-vf,pv-diag-384,verified-adv-text-baseline-medium-vf,text-baseline,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-text-baseline-pro-vf,pv-diag-384,verified-adv-text-baseline-pro-vf,text-baseline,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-pro-text-medium-vf-3of5,pv-diag-384,verified-adv-pro-text-medium-vf-3of5,pro-high-text-1of5,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-pro-image-pro-vf-3of5,pv-diag-384,verified-adv-pro-image-pro-vf-3of5,pro-high-image-1of5,proposer-verifier,verified,image,run-metadata,True,False,,,,image,image,image,,,0
pv-diag-384::verified-adv-pro-text-baseline,pv-diag-384,verified-adv-pro-text-baseline,pro-medium-text-baseline,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-pro-text-baseline-medium-vf,pv-diag-384,verified-adv-pro-text-baseline-medium-vf,pro-medium-text-baseline,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-pro-text-baseline-pro-vf,pv-diag-384,verified-adv-pro-text-baseline-pro-vf,pro-medium-text-baseline,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,text,,,0
pv-diag-384::verified-adv-pro-image-baseline,pv-diag-384,verified-adv-pro-image-baseline,pro-medium-image-baseline,proposer-verifier,verified,image,run-metadata,True,False,,,,image,image,image,,,0
pv-diag-384::verified-adv-pro-image-baseline-medium-vf,pv-diag-384,verified-adv-pro-image-baseline-medium-vf,pro-medium-image-baseline,proposer-verifier,verified,image,run-metadata,True,False,,,,image,image,image,,,0
pv-diag-384::verified-adv-pro-image-baseline-pro-vf,pv-diag-384,verified-adv-pro-image-baseline-pro-vf,pro-medium-image-baseline,proposer-verifier,verified,image,run-metadata,True,False,,,,image,image,image,,,0
pv-diag-384::verified-adv-image-3of5-era2b,pv-diag-384,verified-adv-image-3of5-era2b,flash-high-image-1of5,proposer-verifier,verified,image,run-metadata,True,False,,,,image,image,,,,0
pv-diag-384::verified-adv-image-min-3of5-era2b,pv-diag-384,verified-adv-image-min-3of5-era2b,image-1of5,proposer-verifier,verified,image,run-metadata,True,False,,,,image,image,,,,0
pv-diag-384::verified-adv-image-min-6of10-era2b,pv-diag-384,verified-adv-image-min-6of10-era2b,image-1of10,proposer-verifier,verified,image,pool-name-token,False,False,,,,image,image,,,,0
pv-diag-384::verified-adv-pro-image-pro-vf-3of5-era2b,pv-diag-384,verified-adv-pro-image-pro-vf-3of5-era2b,pro-high-image-1of5,proposer-verifier,verified,image,run-metadata,True,False,,,,image,image,,,,0
pv-diag-384::verified-adv-pro-text-flash-vf-3of5-era2b,pv-diag-384,verified-adv-pro-text-flash-vf-3of5-era2b,pro-high-text-1of5,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,,,,0
pv-diag-384::verified-adv-pro-text-medium-vf-3of5-era2b,pv-diag-384,verified-adv-pro-text-medium-vf-3of5-era2b,pro-high-text-1of5,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,,,,0
pv-diag-384::verified-adv-pro-text-pro-vf-3of5-era2b,pv-diag-384,verified-adv-pro-text-pro-vf-3of5-era2b,pro-high-text-1of5,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,,,,0
pv-diag-384::verified-adv-text-4of5-era2b,pv-diag-384,verified-adv-text-4of5-era2b,flash-high-text-1of5,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,,,,0
pv-diag-384::verified-adv-text-6of10-era2b,pv-diag-384,verified-adv-text-6of10-era2b,flash-high-text-1of10,proposer-verifier,verified,text,pool-name-token,False,False,,,,text,text,,,,0
pv-diag-384::verified-adv-text-consensus-16of30-era2b,pv-diag-384,verified-adv-text-consensus-16of30-era2b,flash-high-text-consensus-16of30,proposer-verifier,verified,text,pool-name-token,False,False,,,,text,text,,,,0
pv-diag-384::verified-adv-text-high-vf-4of5-era2b,pv-diag-384,verified-adv-text-high-vf-4of5-era2b,flash-high-text-1of5,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,,,,0
pv-diag-384::verified-adv-text-medium-vf-4of5-era2b,pv-diag-384,verified-adv-text-medium-vf-4of5-era2b,flash-high-text-1of5,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,,,,0
pv-diag-384::verified-adv-text-min-6of10-era2b,pv-diag-384,verified-adv-text-min-6of10-era2b,text-1of10,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,,,,0
pv-diag-384::verified-adv-text-min-n30lineage-4of5-era2b,pv-diag-384,verified-adv-text-min-n30lineage-4of5-era2b,flash-minimal-text-t07-1of5,proposer-verifier,verified,text,pool-name-token,False,False,,,,text,text,,,,0
pv-diag-384::verified-adv-text-min-true-3of5-era2b,pv-diag-384,verified-adv-text-min-true-3of5-era2b,text-min-t07-true-1of5,proposer-verifier,verified,text,pool-name-token,False,False,,,,text,text,,,,0
pv-diag-384::verified-adv-text-pro-vf-4of5-era2b,pv-diag-384,verified-adv-text-pro-vf-4of5-era2b,flash-high-text-1of5,proposer-verifier,verified,text,run-metadata,True,False,,,,text,text,,,,0
pv-diag-384::verified-adv-text-t03-4of5-era2b,pv-diag-384,verified-adv-text-t03-4of5-era2b,flash-high-text-t03-1of5,proposer-verifier,verified,text,pool-name-token,False,False,,,,text,text,,,,0
pv-diag-384::pv-high-text-t0.3-n5-opmax,pv-diag-384,pv-high-text-t0.3-n5-opmax,flash-high-text-n5-text-t0.3,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::session-78-text-comparative-opmax,pv-diag-384,session-78-text-comparative-opmax,flash-high-text-n5-text-t0.7,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::session-78-text-adversarial-opmax,pv-diag-384,session-78-text-adversarial-opmax,flash-high-text-n5-text-t0.7,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::pv-high-text-t1.0-n10-opmax,pv-diag-384,pv-high-text-t1.0-n10-opmax,flash-high-text-n5-text-t1.0,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::session-78-text-checklist-opmax,pv-diag-384,session-78-text-checklist-opmax,flash-high-text-n5-text-t0.7,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::pv-min-text-t0.3-n5-opmax,pv-diag-384,pv-min-text-t0.3-n5-opmax,flash-minimal-text-n30-t07-text-t0.3,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::pv-min-text-t1.0-n10-opmax,pv-diag-384,pv-min-text-t1.0-n10-opmax,flash-minimal-text-n30-t07-text-t1.0,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::session-78-text-brief-opmax,pv-diag-384,session-78-text-brief-opmax,flash-high-text-n5-text-t0.7,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::pv-high-text-t0.7-n10-opmax,pv-diag-384,pv-high-text-t0.7-n10-opmax,flash-high-text-n5-text-t0.7,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::pv-min-text-t0.7-n5-opmax,pv-diag-384,pv-min-text-t0.7-n5-opmax,flash-minimal-text-n30-t07-text-t0.7,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::pv-min-text-t0.7-n10-opmax,pv-diag-384,pv-min-text-t0.7-n10-opmax,flash-minimal-text-n30-t07-text-t0.7,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::pv-high-text-t0.3-n10-opmax,pv-diag-384,pv-high-text-t0.3-n10-opmax,flash-high-text-n5-text-t0.3,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::pv-min-text-t1.0-n5-opmax,pv-diag-384,pv-min-text-t1.0-n5-opmax,flash-minimal-text-n30-t07-text-t1.0,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::pv-min-text-t0.3-n10-opmax,pv-diag-384,pv-min-text-t0.3-n10-opmax,flash-minimal-text-n30-t07-text-t0.3,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::session-78-text-checklist-text-opmax,pv-diag-384,session-78-text-checklist-text-opmax,flash-high-text-n5-text-t0.7,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::pv-high-text-t0.7-n5-opmax,pv-diag-384,pv-high-text-t0.7-n5-opmax,flash-high-text-n5-text-t0.7,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::pv-min-text-t0.0-n3-opmax,pv-diag-384,pv-min-text-t0.0-n3-opmax,flash-minimal-text-n30-t07-text-t0.0,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::pv-high-text-t1.0-n5-opmax,pv-diag-384,pv-high-text-t1.0-n5-opmax,flash-high-text-n5-text-t1.0,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::session-78-text-adversarial-text-opmax,pv-diag-384,session-78-text-adversarial-text-opmax,flash-high-text-n5-text-t0.7,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::session-78-text-brief-text-opmax,pv-diag-384,session-78-text-brief-text-opmax,flash-high-text-n5-text-t0.7,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::pv-high-text-t0.0-n3-opmax,pv-diag-384,pv-high-text-t0.0-n3-opmax,flash-high-text-n5-text-t0.0,proposer-verifier,verified,text,pass-metadata,True,False,text,,text,text,text,,text,text,0
pv-diag-384::pv-min-image-t0.7-n10-opmax,pv-diag-384,pv-min-image-t0.7-n10-opmax,image-n5-image-t0.7,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,image,,image,image,0
pv-diag-384::pv-high-image-t0.7-n5-opmax,pv-diag-384,pv-high-image-t0.7-n5-opmax,flash-high-image-n5-image-t0.7,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,image,,image,image,0
pv-diag-384::session-78-image-adversarial-opmax,pv-diag-384,session-78-image-adversarial-opmax,flash-high-image-n5-image-t0.7,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,image,,image,image,0
pv-diag-384::session-78-image-comparative-opmax,pv-diag-384,session-78-image-comparative-opmax,flash-high-image-n5-image-t0.7,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,image,,image,image,0
pv-diag-384::session-78-image-checklist-text-opmax,pv-diag-384,session-78-image-checklist-text-opmax,flash-high-image-n5-image-t0.7,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,both,,image,image,0
pv-diag-384::session-78-image-brief-opmax,pv-diag-384,session-78-image-brief-opmax,flash-high-image-n5-image-t0.7,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,image,,image,image,0
pv-diag-384::session-78-image-checklist-opmax,pv-diag-384,session-78-image-checklist-opmax,flash-high-image-n5-image-t0.7,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,image,,image,image,0
pv-diag-384::pv-min-image-t0.3-n10-opmax,pv-diag-384,pv-min-image-t0.3-n10-opmax,image-n5-image-t0.3,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,image,,image,image,0
pv-diag-384::session-78-image-brief-text-opmax,pv-diag-384,session-78-image-brief-text-opmax,flash-high-image-n5-image-t0.7,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,both,,image,image,0
pv-diag-384::pv-min-image-t0.3-n5-opmax,pv-diag-384,pv-min-image-t0.3-n5-opmax,image-n5-image-t0.3,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,image,,image,image,0
pv-diag-384::pv-high-image-t0.7-n10-opmax,pv-diag-384,pv-high-image-t0.7-n10-opmax,flash-high-image-n5-image-t0.7,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,image,,image,image,0
pv-diag-384::pv-min-image-t0.7-n5-opmax,pv-diag-384,pv-min-image-t0.7-n5-opmax,image-n5-image-t0.7,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,image,,image,image,0
pv-diag-384::session-78-image-adversarial-text-opmax,pv-diag-384,session-78-image-adversarial-text-opmax,flash-high-image-n5-image-t0.7,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,both,,image,image,0
pv-diag-384::pv-high-image-t0.3-n10-opmax,pv-diag-384,pv-high-image-t0.3-n10-opmax,flash-high-image-n5-image-t0.3,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,image,,image,image,0
pv-diag-384::pv-scale4-optimal-n10-opmax,pv-diag-384,pv-scale4-optimal-n10-opmax,scale-4-optimal-487,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,,,,image,image,0
pv-diag-384::pv-high-image-t1.0-n10-opmax,pv-diag-384,pv-high-image-t1.0-n10-opmax,flash-high-image-n5-image-t1.0,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,image,,image,image,0
pv-diag-384::pv-scale4-optimal-n5-opmax,pv-diag-384,pv-scale4-optimal-n5-opmax,scale-4-optimal-487,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,,,,image,image,0
